number,credits,title,description,vector
100,3,Differential Calculus with Applications to Physical Sciences and Engineering,"Derivatives of elementary functions. Applications and modelling: graphing, optimization.",[3-0-0]
101,3,Integral Calculus with Applications to Physical Sciences and Engineering,"The definite integral, integration techniques, applications, modelling, infinite series.",[3-0-0]
102,3,Differential Calculus with Applications to Life Sciences,"Functions, derivatives, optimization, growth and decay, discrete probability.",[3-0-0]
103,3,Integral Calculus with Applications to Life Sciences,"Antiderivatives and definite integrals, infinite series, applications to probability and dynamical systems. ",[3-0-0]
104,3,Differential Calculus with Applications to Commerce and Social Sciences,"Derivatives and rates of change, exponential and trigonometric functions, Newton's method, Taylor polynomials, maxima and minima, and graphing.",[3-0-0]
105,3,Integral Calculus with Applications to Commerce and Social Sciences,"Antiderivatives, the definite integral, techniques of integration, infinite series, partial derivatives, maxima and minima with constraints, discrete and continuous random variables. ",[3-0-0]
110,6,Differential Calculus,"Topics as for MATH 100, but including relevant topics from algebra, geometry, functions, trigonometry, logarithms, and exponentials.",[3-0-1.5]
120,4,Honours Differential Calculus,"Limits, derivatives, Mean Value Theorem and applications, elementary functions, optimization, Taylor series, approximation. ",[4-0-0]
121,4,Honours Integral Calculus,"Definite integrals and the Fundamental Theorem of Calculus, techniques and applications of integration, infinite series.",[4-0-0]
152,3,Linear Systems,"2D and 3D geometry, vectors and matrices, eigenvalues and vibration, physical applications. Laboratories demonstrate computer solutions of large systems. ",[3-1*-0]
180,4,Differential Calculus with Physical Applications,Topics as for Math 100; intended for students with no previous knowledge of Calculus. ,[3-0-1.5]
184,4,Differential Calculus for Social Science and Commerce,Topics as for Math 104; intended for students with no previous knowledge of Calculus.,[3-0-1.5]
190,4,Calculus Survey,"Functions, derivatives, integrals, curve sketching growth functions, volume calculations. Only for credit in the Faculty of Forestry. ",[3-0-2]
200,3,Calculus III,"Analytic geometry in 2 and 3 dimensions, partial and directional derivatives, chain rule, maxima and minima, second derivative test, Lagrange multipliers, multiple integrals with applications.",[3-0-0]
210,3,Introduction to Mathematical Computing,"Introduction to numerical computation, computer algebra, mathematical graphics. Primarily for second year students taking a degree in mathematics. ",[3-1-0]
215,3,Elementary Differential Equations I,First-order equations; linear equations; linear systems; Laplace transforms; numerical methods; trajectory analysis of plane nonlinear systems. Applications of these topics will be emphasized.,[3-0-0]
