course_number,r,theta,x,y
322,5,1,4.9726,0.5226
323,6,1,5.9671,0.6272
423,8,0,8.0000,0.0000
422,7,1,6.9617,0.7317
437,7,2,6.8470,1.4554
443,7,3,6.6574,2.1631
412,7,4,6.3948,2.8472
426,7,5,6.0622,3.5000
427,8,5,6.9282,4.0000
320,5,6,4.0451,2.9389
321,6,6,4.8541,3.5267
420,7,6,5.6631,4.1145
421,8,6,6.4721,4.7023
418,7,7,5.2020,4.6839
419,8,7,5.9452,5.3530
402,7,8,4.6839,5.2020
404,8,8,5.3530,5.9452
428,7,9,4.1145,5.6631
403,7,10,3.5000,6.0622
300,5,11,2.0337,4.5677
301,6,11,2.4404,5.4813
440,7,11,2.8472,6.3948
450,8,11,3.2539,7.3084
316,5,12,1.5451,4.7553
400,7,12,2.1631,6.6574
401,8,12,2.4721,7.6084
345,5,14,0.5226,4.9726
405,7,13,1.4554,6.8470
424,7,14,0.7317,6.9617
425,8,14,0.8362,7.9562
361,5,15,0.0000,5.0000
462,7,15,0.0000,7.0000
302,5,16,-0.5226,4.9726
303,6,16,-0.6272,5.9671
340,5,18,-1.5451,4.7553
307,5,19,-2.0337,4.5677
442,7,17,-1.4554,6.8470
441,7,18,-2.1631,6.6574
312,5,20,-2.5000,4.3301
313,6,20,-3.0000,5.1962
344,5,21,-2.9389,4.0451
341,5,22,-3.3456,3.7157
342,5,23,-3.7157,3.3457
310,5,24,-4.0451,2.9389
444,7,24,-5.6631,4.1145
446,7,25,-6.0622,3.5000
309,5,26,-4.5677,2.0337
308,5,27,-4.7553,1.5451
360,5,28,-4.8907,1.0396
335,5,29,-4.9726,0.5227
414,7,30,-7.0000,0.0000
120,1,6,0.8090,0.5878
121,2,6,1.6180,1.1756
226,3,6,2.4271,1.7634
227,4,6,3.2361,2.3511
223,3,1,2.9836,0.3136
100,1,15,0.0000,1.0000
101,2,15,0.0000,2.0000
180,1,18,-0.3090,0.9511
184,1,27,-0.9511,0.3090
200,3,15,0.0000,3.0000
317,4,15,0.0000,4.0000
102,1,21,-0.5878,0.8090
103,2,21,-1.1756,1.6180
215,4,12,1.2361,3.8042
104,1,24,-0.8090,0.5878
105,2,24,-1.6180,1.1756
110,1,30,-1.0000,0.0000
190,1,33,-0.9511,-0.3090
220,4,18,-1.2361,3.8042
221,4,21,-2.3511,3.2361
210,4,24,-3.2361,2.3511
