,requisite_id,course_number,requisite_number,course_x,course_y,requisite_x,requisite_y
0,1,101,100,0.0,2.0,0.0,1.0
1,1,101,102,0.0,2.0,-0.5878,0.809
2,1,101,104,0.0,2.0,-0.809,0.5878
3,1,101,110,0.0,2.0,-1.0,0.0
4,1,101,120,0.0,2.0,0.809,0.5878
5,1,101,180,0.0,2.0,-0.309,0.9511
6,1,101,184,0.0,2.0,-0.9511,0.309
7,2,103,100,-1.1756,1.618,0.0,1.0
8,2,103,102,-1.1756,1.618,-0.5878,0.809
9,2,103,104,-1.1756,1.618,-0.809,0.5878
10,2,103,110,-1.1756,1.618,-1.0,0.0
11,2,103,120,-1.1756,1.618,0.809,0.5878
12,2,103,180,-1.1756,1.618,-0.309,0.9511
13,2,103,184,-1.1756,1.618,-0.9511,0.309
14,4,105,100,-1.618,1.1756,0.0,1.0
15,4,105,102,-1.618,1.1756,-0.5878,0.809
16,4,105,104,-1.618,1.1756,-0.809,0.5878
17,4,105,110,-1.618,1.1756,-1.0,0.0
18,4,105,120,-1.618,1.1756,0.809,0.5878
19,4,105,180,-1.618,1.1756,-0.309,0.9511
20,4,105,184,-1.618,1.1756,-0.9511,0.309
21,5,121,120,1.618,1.1756,0.809,0.5878
22,6,121,100,1.618,1.1756,0.0,1.0
23,6,121,102,1.618,1.1756,-0.5878,0.809
24,6,121,104,1.618,1.1756,-0.809,0.5878
25,6,121,180,1.618,1.1756,-0.309,0.9511
26,6,121,184,1.618,1.1756,-0.9511,0.309
27,7,200,101,0.0,3.0,0.0,2.0
28,7,200,103,0.0,3.0,-1.1756,1.618
29,7,200,105,0.0,3.0,-1.618,1.1756
30,7,200,121,0.0,3.0,1.618,1.1756
31,8,210,101,-3.2361,2.3511,0.0,2.0
32,8,210,103,-3.2361,2.3511,-1.1756,1.618
33,8,210,105,-3.2361,2.3511,-1.618,1.1756
34,8,210,121,-3.2361,2.3511,1.618,1.1756
35,9,210,215,-3.2361,2.3511,-1.2361,3.8042
36,10,210,221,-3.2361,2.3511,-2.3511,3.2361
37,10,210,223,-3.2361,2.3511,2.9836,0.3136
38,11,215,101,-1.2361,3.8042,0.0,2.0
39,11,215,103,-1.2361,3.8042,-1.1756,1.618
40,11,215,105,-1.2361,3.8042,-1.618,1.1756
41,11,215,121,-1.2361,3.8042,1.618,1.1756
42,12,215,221,-1.2361,3.8042,-2.3511,3.2361
43,12,215,223,-1.2361,3.8042,2.9836,0.3136
44,13,215,200,-1.2361,3.8042,0.0,3.0
45,13,215,226,-1.2361,3.8042,2.4271,1.7634
46,14,220,101,-1.2361,3.8042,0.0,2.0
47,14,220,103,-1.2361,3.8042,-1.1756,1.618
48,14,220,105,-1.2361,3.8042,-1.618,1.1756
49,15,220,121,-1.2361,3.8042,1.618,1.1756
50,15,220,200,-1.2361,3.8042,0.0,3.0
51,15,220,226,-1.2361,3.8042,2.4271,1.7634
52,16,221,100,-2.3511,3.2361,0.0,1.0
53,16,221,102,-2.3511,3.2361,-0.5878,0.809
54,16,221,103,-2.3511,3.2361,-1.1756,1.618
55,16,221,110,-2.3511,3.2361,-1.0,0.0
56,16,221,120,-2.3511,3.2361,0.809,0.5878
57,16,221,180,-2.3511,3.2361,-0.309,0.9511
58,16,221,184,-2.3511,3.2361,-0.9511,0.309
59,17,221,101,-2.3511,3.2361,0.0,2.0
60,17,221,103,-2.3511,3.2361,-1.1756,1.618
61,17,221,105,-2.3511,3.2361,-1.618,1.1756
62,17,221,121,-2.3511,3.2361,1.618,1.1756
63,18,223,121,2.9836,0.3136,1.618,1.1756
64,19,223,101,2.9836,0.3136,0.0,2.0
65,19,223,103,2.9836,0.3136,-1.1756,1.618
66,19,223,105,2.9836,0.3136,-1.618,1.1756
67,20,226,121,2.4271,1.7634,1.618,1.1756
68,21,226,101,2.4271,1.7634,0.0,2.0
69,21,226,103,2.4271,1.7634,-1.1756,1.618
70,21,226,105,2.4271,1.7634,-1.618,1.1756
71,22,226,221,2.4271,1.7634,-2.3511,3.2361
72,22,226,223,2.4271,1.7634,2.9836,0.3136
73,23,227,226,3.2361,2.3511,2.4271,1.7634
74,40,300,200,2.0337,4.5677,0.0,3.0
75,40,300,226,2.0337,4.5677,2.4271,1.7634
76,41,300,227,2.0337,4.5677,3.2361,2.3511
77,41,300,317,2.0337,4.5677,0.0,4.0
78,42,301,300,2.4404,5.4813,2.0337,4.5677
79,43,301,215,2.4404,5.4813,-1.2361,3.8042
80,44,301,316,2.4404,5.4813,1.5451,4.7553
81,45,302,200,-0.5226,4.9726,0.0,3.0
82,45,302,226,-0.5226,4.9726,2.4271,1.7634
83,47,303,302,-0.6272,5.9671,-0.5226,4.9726
84,51,307,221,-2.0337,4.5677,-2.3511,3.2361
85,51,307,223,-2.0337,4.5677,2.9836,0.3136
86,52,307,200,-2.0337,4.5677,0.0,3.0
